"","submission_date","state","variable","Value","year","month","day"
"1",2020-01-22,"CT","tot_cases",0,2020,"1",22
"2",2020-01-23,"CT","tot_cases",0,2020,"1",23
"3",2020-01-24,"CT","tot_cases",0,2020,"1",24
"4",2020-01-25,"CT","tot_cases",0,2020,"1",25
"5",2020-01-26,"CT","tot_cases",0,2020,"1",26
"6",2020-01-27,"CT","tot_cases",0,2020,"1",27
"7",2020-01-28,"CT","tot_cases",0,2020,"1",28
"8",2020-01-29,"CT","tot_cases",0,2020,"1",29
"9",2020-01-30,"CT","tot_cases",0,2020,"1",30
"10",2020-01-31,"CT","tot_cases",0,2020,"1",31
"11",2020-02-01,"CT","tot_cases",0,2020,"2",1
"12",2020-02-02,"CT","tot_cases",0,2020,"2",2
"13",2020-02-03,"CT","tot_cases",0,2020,"2",3
"14",2020-02-04,"CT","tot_cases",0,2020,"2",4
"15",2020-02-05,"CT","tot_cases",0,2020,"2",5
"16",2020-02-06,"CT","tot_cases",0,2020,"2",6
"17",2020-02-07,"CT","tot_cases",0,2020,"2",7
"18",2020-02-08,"CT","tot_cases",0,2020,"2",8
"19",2020-02-09,"CT","tot_cases",0,2020,"2",9
"20",2020-02-10,"CT","tot_cases",0,2020,"2",10
"21",2020-02-11,"CT","tot_cases",0,2020,"2",11
"22",2020-02-12,"CT","tot_cases",0,2020,"2",12
"23",2020-02-13,"CT","tot_cases",0,2020,"2",13
"24",2020-02-14,"CT","tot_cases",0,2020,"2",14
"25",2020-02-15,"CT","tot_cases",0,2020,"2",15
"26",2020-02-16,"CT","tot_cases",0,2020,"2",16
"27",2020-02-17,"CT","tot_cases",0,2020,"2",17
"28",2020-02-18,"CT","tot_cases",0,2020,"2",18
"29",2020-02-19,"CT","tot_cases",0,2020,"2",19
"30",2020-02-20,"CT","tot_cases",0,2020,"2",20
"31",2020-02-21,"CT","tot_cases",0,2020,"2",21
"32",2020-02-22,"CT","tot_cases",0,2020,"2",22
"33",2020-02-23,"CT","tot_cases",0,2020,"2",23
"34",2020-02-24,"CT","tot_cases",0,2020,"2",24
"35",2020-02-25,"CT","tot_cases",0,2020,"2",25
"36",2020-02-26,"CT","tot_cases",0,2020,"2",26
"37",2020-02-27,"CT","tot_cases",0,2020,"2",27
"38",2020-02-28,"CT","tot_cases",0,2020,"2",28
"39",2020-02-29,"CT","tot_cases",0,2020,"2",29
"40",2020-03-01,"CT","tot_cases",0,2020,"3",1
"41",2020-03-02,"CT","tot_cases",0,2020,"3",2
"42",2020-03-03,"CT","tot_cases",0,2020,"3",3
"43",2020-03-04,"CT","tot_cases",0,2020,"3",4
"44",2020-03-05,"CT","tot_cases",0,2020,"3",5
"45",2020-03-06,"CT","tot_cases",0,2020,"3",6
"46",2020-03-07,"CT","tot_cases",0,2020,"3",7
"47",2020-03-08,"CT","tot_cases",1,2020,"3",8
"48",2020-03-09,"CT","tot_cases",1,2020,"3",9
"49",2020-03-10,"CT","tot_cases",2,2020,"3",10
"50",2020-03-11,"CT","tot_cases",3,2020,"3",11
"51",2020-03-12,"CT","tot_cases",7,2020,"3",12
"52",2020-03-13,"CT","tot_cases",7,2020,"3",13
"53",2020-03-14,"CT","tot_cases",7,2020,"3",14
"54",2020-03-15,"CT","tot_cases",26,2020,"3",15
"55",2020-03-16,"CT","tot_cases",41,2020,"3",16
"56",2020-03-17,"CT","tot_cases",68,2020,"3",17
"57",2020-03-18,"CT","tot_cases",96,2020,"3",18
"58",2020-03-19,"CT","tot_cases",159,2020,"3",19
"59",2020-03-20,"CT","tot_cases",194,2020,"3",20
"60",2020-03-21,"CT","tot_cases",223,2020,"3",21
"61",2020-03-22,"CT","tot_cases",327,2020,"3",22
"62",2020-03-23,"CT","tot_cases",415,2020,"3",23
"63",2020-03-24,"CT","tot_cases",618,2020,"3",24
"64",2020-03-25,"CT","tot_cases",875,2020,"3",25
"65",2020-03-26,"CT","tot_cases",1012,2020,"3",26
"66",2020-03-27,"CT","tot_cases",1291,2020,"3",27
"67",2020-03-28,"CT","tot_cases",1524,2020,"3",28
"68",2020-03-29,"CT","tot_cases",1993,2020,"3",29
"69",2020-03-30,"CT","tot_cases",2571,2020,"3",30
"70",2020-03-31,"CT","tot_cases",3128,2020,"3",31
"71",2020-04-01,"CT","tot_cases",3557,2020,"4",1
"72",2020-04-02,"CT","tot_cases",3824,2020,"4",2
"73",2020-04-03,"CT","tot_cases",4915,2020,"4",3
"74",2020-04-04,"CT","tot_cases",5276,2020,"4",4
"75",2020-04-05,"CT","tot_cases",5675,2020,"4",5
"76",2020-04-06,"CT","tot_cases",6906,2020,"4",6
"77",2020-04-07,"CT","tot_cases",7781,2020,"4",7
"78",2020-04-08,"CT","tot_cases",8781,2020,"4",8
"79",2020-04-09,"CT","tot_cases",9784,2020,"4",9
"80",2020-04-10,"CT","tot_cases",10131,2020,"4",10
"81",2020-04-11,"CT","tot_cases",11510,2020,"4",11
"82",2020-04-12,"CT","tot_cases",12035,2020,"4",12
"83",2020-04-13,"CT","tot_cases",13381,2020,"4",13
"84",2020-04-14,"CT","tot_cases",13989,2020,"4",14
"85",2020-04-15,"CT","tot_cases",14755,2020,"4",15
"86",2020-04-16,"CT","tot_cases",15884,2020,"4",16
"87",2020-04-17,"CT","tot_cases",16809,2020,"4",17
"88",2020-04-18,"CT","tot_cases",17550,2020,"4",18
"89",2020-04-19,"CT","tot_cases",17962,2020,"4",19
"90",2020-04-20,"CT","tot_cases",19815,2020,"4",20
"91",2020-04-21,"CT","tot_cases",20360,2020,"4",21
"92",2020-04-22,"CT","tot_cases",22469,2020,"4",22
"93",2020-04-23,"CT","tot_cases",23100,2020,"4",23
"94",2020-04-24,"CT","tot_cases",23921,2020,"4",24
"95",2020-04-25,"CT","tot_cases",24582,2020,"4",25
"96",2020-04-26,"CT","tot_cases",25269,2020,"4",26
"97",2020-04-27,"CT","tot_cases",25997,2020,"4",27
"98",2020-04-28,"CT","tot_cases",26312,2020,"4",28
"99",2020-04-29,"CT","tot_cases",26767,2020,"4",29
"100",2020-04-30,"CT","tot_cases",27700,2020,"4",30
"101",2020-05-01,"CT","tot_cases",28764,2020,"5",1
"102",2020-05-02,"CT","tot_cases",29287,2020,"5",2
"103",2020-05-03,"CT","tot_cases",29312,2020,"5",3
"104",2020-05-04,"CT","tot_cases",29973,2020,"5",4
"105",2020-05-05,"CT","tot_cases",30621,2020,"5",5
"106",2020-05-06,"CT","tot_cases",30995,2020,"5",6
"107",2020-05-07,"CT","tot_cases",31784,2020,"5",7
"108",2020-05-08,"CT","tot_cases",32411,2020,"5",8
"109",2020-05-09,"CT","tot_cases",32984,2020,"5",9
"110",2020-05-10,"CT","tot_cases",33554,2020,"5",10
"111",2020-05-11,"CT","tot_cases",33765,2020,"5",11
"112",2020-05-12,"CT","tot_cases",34333,2020,"5",12
"113",2020-05-13,"CT","tot_cases",34855,2020,"5",13
"114",2020-05-14,"CT","tot_cases",35464,2020,"5",14
"115",2020-05-15,"CT","tot_cases",36085,2020,"5",15
"116",2020-05-16,"CT","tot_cases",36703,2020,"5",16
"117",2020-05-17,"CT","tot_cases",37419,2020,"5",17
"118",2020-05-18,"CT","tot_cases",38116,2020,"5",18
"119",2020-05-19,"CT","tot_cases",38430,2020,"5",19
"120",2020-05-20,"CT","tot_cases",39017,2020,"5",20
"121",2020-05-21,"CT","tot_cases",39208,2020,"5",21
"122",2020-05-22,"CT","tot_cases",39640,2020,"5",22
"123",2020-05-23,"CT","tot_cases",40022,2020,"5",23
"124",2020-05-24,"CT","tot_cases",40468,2020,"5",24
"125",2020-05-25,"CT","tot_cases",40873,2020,"5",25
"126",2020-05-26,"CT","tot_cases",41303,2020,"5",26
"127",2020-05-27,"CT","tot_cases",41288,2020,"5",27
"128",2020-05-28,"CT","tot_cases",41559,2020,"5",28
"129",2020-05-29,"CT","tot_cases",41762,2020,"5",29
"130",2020-05-30,"CT","tot_cases",42022,2020,"5",30
"131",2020-05-31,"CT","tot_cases",42201,2020,"5",31
"132",2020-06-01,"CT","tot_cases",42740,2020,"6",1
"133",2020-06-02,"CT","tot_cases",42979,2020,"6",2
"134",2020-06-03,"CT","tot_cases",43091,2020,"6",3
"135",2020-06-04,"CT","tot_cases",43239,2020,"6",4
"136",2020-06-05,"CT","tot_cases",43460,2020,"6",5
"137",2020-06-06,"CT","tot_cases",43818,2020,"6",6
"138",2020-06-07,"CT","tot_cases",43968,2020,"6",7
"139",2020-06-08,"CT","tot_cases",44092,2020,"6",8
"140",2020-06-09,"CT","tot_cases",44179,2020,"6",9
"141",2020-06-10,"CT","tot_cases",44347,2020,"6",10
"142",2020-06-11,"CT","tot_cases",44461,2020,"6",11
"143",2020-06-12,"CT","tot_cases",44689,2020,"6",12
"144",2020-06-13,"CT","tot_cases",44994,2020,"6",13
"145",2020-06-14,"CT","tot_cases",45088,2020,"6",14
"146",2020-06-15,"CT","tot_cases",45235,2020,"6",15
"147",2020-06-16,"CT","tot_cases",45349,2020,"6",16
"148",2020-06-17,"CT","tot_cases",45429,2020,"6",17
"149",2020-06-18,"CT","tot_cases",45440,2020,"6",18
"150",2020-06-19,"CT","tot_cases",45557,2020,"6",19
"151",2020-06-20,"CT","tot_cases",45715,2020,"6",20
"152",2020-06-21,"CT","tot_cases",45755,2020,"6",21
"153",2020-06-22,"CT","tot_cases",45782,2020,"6",22
"154",2020-06-23,"CT","tot_cases",45899,2020,"6",23
"155",2020-06-24,"CT","tot_cases",45913,2020,"6",24
"156",2020-06-25,"CT","tot_cases",45994,2020,"6",25
"157",2020-06-26,"CT","tot_cases",46059,2020,"6",26
"158",2020-06-27,"CT","tot_cases",46206,2020,"6",27
"159",2020-06-28,"CT","tot_cases",46303,2020,"6",28
"160",2020-06-29,"CT","tot_cases",46362,2020,"6",29
"161",2020-06-30,"CT","tot_cases",46514,2020,"6",30
"162",2020-07-01,"CT","tot_cases",46572,2020,"7",1
"163",2020-07-02,"CT","tot_cases",46646,2020,"7",2
"164",2020-07-03,"CT","tot_cases",46717,2020,"7",3
"165",2020-07-04,"CT","tot_cases",46717,2020,"7",4
"166",2020-07-05,"CT","tot_cases",46717,2020,"7",5
"167",2020-07-06,"CT","tot_cases",46976,2020,"7",6
"168",2020-07-07,"CT","tot_cases",47033,2020,"7",7
"169",2020-07-08,"CT","tot_cases",47108,2020,"7",8
"170",2020-07-09,"CT","tot_cases",47209,2020,"7",9
"171",2020-07-10,"CT","tot_cases",47287,2020,"7",10
"172",2020-07-11,"CT","tot_cases",47287,2020,"7",11
"173",2020-07-12,"CT","tot_cases",47287,2020,"7",12
"174",2020-07-13,"CT","tot_cases",47510,2020,"7",13
"175",2020-07-14,"CT","tot_cases",47530,2020,"7",14
"176",2020-07-15,"CT","tot_cases",47636,2020,"7",15
"177",2020-07-16,"CT","tot_cases",47750,2020,"7",16
"178",2020-07-17,"CT","tot_cases",47893,2020,"7",17
"179",2020-07-18,"CT","tot_cases",47893,2020,"7",18
"180",2020-07-19,"CT","tot_cases",47893,2020,"7",19
"181",2020-07-20,"CT","tot_cases",48055,2020,"7",20
"182",2020-07-21,"CT","tot_cases",48096,2020,"7",21
"183",2020-07-22,"CT","tot_cases",48223,2020,"7",22
"184",2020-07-23,"CT","tot_cases",48232,2020,"7",23
"185",2020-07-24,"CT","tot_cases",48776,2020,"7",24
"186",2020-07-25,"CT","tot_cases",48776,2020,"7",25
"187",2020-07-26,"CT","tot_cases",48776,2020,"7",26
"188",2020-07-27,"CT","tot_cases",48983,2020,"7",27
"189",2020-07-28,"CT","tot_cases",49077,2020,"7",28
"190",2020-07-29,"CT","tot_cases",49540,2020,"7",29
"191",2020-07-30,"CT","tot_cases",49670,2020,"7",30
"192",2020-07-31,"CT","tot_cases",49810,2020,"7",31
"193",2020-08-01,"CT","tot_cases",49810,2020,"8",1
"194",2020-08-02,"CT","tot_cases",49810,2020,"8",2
"195",2020-08-03,"CT","tot_cases",50062,2020,"8",3
"196",2020-08-04,"CT","tot_cases",50110,2020,"8",4
"197",2020-08-05,"CT","tot_cases",50225,2020,"8",5
"198",2020-08-06,"CT","tot_cases",50245,2020,"8",6
"199",2020-08-07,"CT","tot_cases",50320,2020,"8",7
"200",2020-08-08,"CT","tot_cases",50320,2020,"8",8
"201",2020-08-09,"CT","tot_cases",50320,2020,"8",9
"202",2020-08-10,"CT","tot_cases",50567,2020,"8",10
"203",2020-08-11,"CT","tot_cases",50684,2020,"8",11
"204",2020-08-12,"CT","tot_cases",50706,2020,"8",12
"205",2020-08-13,"CT","tot_cases",50782,2020,"8",13
"206",2020-08-14,"CT","tot_cases",50897,2020,"8",14
"207",2020-08-15,"CT","tot_cases",50897,2020,"8",15
"208",2020-08-16,"CT","tot_cases",50897,2020,"8",16
"209",2020-08-17,"CT","tot_cases",51267,2020,"8",17
"210",2020-08-18,"CT","tot_cases",51255,2020,"8",18
"211",2020-08-19,"CT","tot_cases",51314,2020,"8",19
"212",2020-08-20,"CT","tot_cases",51432,2020,"8",20
"213",2020-08-21,"CT","tot_cases",51519,2020,"8",21
"214",2020-08-22,"CT","tot_cases",51519,2020,"8",22
"215",2020-08-23,"CT","tot_cases",51519,2020,"8",23
"216",2020-08-24,"CT","tot_cases",52011,2020,"8",24
"217",2020-08-25,"CT","tot_cases",52040,2020,"8",25
"218",2020-08-26,"CT","tot_cases",52220,2020,"8",26
"219",2020-08-27,"CT","tot_cases",52350,2020,"8",27
"220",2020-08-28,"CT","tot_cases",52495,2020,"8",28
"221",2020-08-29,"CT","tot_cases",52495,2020,"8",29
"222",2020-08-30,"CT","tot_cases",52495,2020,"8",30
"223",2020-08-31,"CT","tot_cases",52879,2020,"8",31
"224",2020-09-01,"CT","tot_cases",53006,2020,"9",1
"225",2020-09-02,"CT","tot_cases",53108,2020,"9",2
"226",2020-09-03,"CT","tot_cases",53209,2020,"9",3
"227",2020-09-04,"CT","tot_cases",53365,2020,"9",4
"228",2020-09-05,"CT","tot_cases",53365,2020,"9",5
"229",2020-09-06,"CT","tot_cases",53365,2020,"9",6
"230",2020-09-07,"CT","tot_cases",53365,2020,"9",7
"231",2020-09-08,"CT","tot_cases",53782,2020,"9",8
"232",2020-09-09,"CT","tot_cases",53871,2020,"9",9
"233",2020-09-10,"CT","tot_cases",54093,2020,"9",10
"234",2020-09-11,"CT","tot_cases",54326,2020,"9",11
"235",2020-09-12,"CT","tot_cases",54326,2020,"9",12
"236",2020-09-13,"CT","tot_cases",54326,2020,"9",13
"237",2020-09-14,"CT","tot_cases",54895,2020,"9",14
"238",2020-09-15,"CT","tot_cases",55031,2020,"9",15
"239",2020-09-16,"CT","tot_cases",55166,2020,"9",16
"240",2020-09-17,"CT","tot_cases",55386,2020,"9",17
"241",2020-09-18,"CT","tot_cases",55527,2020,"9",18
"242",2020-09-19,"CT","tot_cases",55527,2020,"9",19
"243",2020-09-20,"CT","tot_cases",55527,2020,"9",20
"244",2020-09-21,"CT","tot_cases",56024,2020,"9",21
"245",2020-09-22,"CT","tot_cases",56160,2020,"9",22
"246",2020-09-23,"CT","tot_cases",56315,2020,"9",23
"247",2020-09-24,"CT","tot_cases",56472,2020,"9",24
"248",2020-09-25,"CT","tot_cases",56587,2020,"9",25
"249",2020-09-26,"CT","tot_cases",56587,2020,"9",26
"250",2020-09-27,"CT","tot_cases",56587,2020,"9",27
"251",2020-09-28,"CT","tot_cases",57147,2020,"9",28
"252",2020-09-29,"CT","tot_cases",57329,2020,"9",29
"253",2020-09-30,"CT","tot_cases",57550,2020,"9",30
"254",2020-10-01,"CT","tot_cases",57742,2020,"10",1
"255",2020-10-02,"CT","tot_cases",58297,2020,"10",2
"256",2020-10-03,"CT","tot_cases",58297,2020,"10",3
"257",2020-10-04,"CT","tot_cases",58297,2020,"10",4
"258",2020-10-05,"CT","tot_cases",59120,2020,"10",5
"259",2020-10-06,"CT","tot_cases",59241,2020,"10",6
"260",2020-10-07,"CT","tot_cases",59364,2020,"10",7
"261",2020-10-08,"CT","tot_cases",59748,2020,"10",8
"262",2020-10-09,"CT","tot_cases",60038,2020,"10",9
"263",2020-10-10,"CT","tot_cases",60038,2020,"10",10
"264",2020-10-11,"CT","tot_cases",60038,2020,"10",11
"265",2020-10-12,"CT","tot_cases",61377,2020,"10",12
"266",2020-10-13,"CT","tot_cases",61697,2020,"10",13
"267",2020-10-14,"CT","tot_cases",61861,2020,"10",14
"268",2020-10-15,"CT","tot_cases",62028,2020,"10",15
"269",2020-10-16,"CT","tot_cases",62830,2020,"10",16
"270",2020-10-17,"CT","tot_cases",62830,2020,"10",17
"271",2020-10-18,"CT","tot_cases",62830,2020,"10",18
"272",2020-10-19,"CT","tot_cases",64021,2020,"10",19
"273",2020-10-20,"CT","tot_cases",64455,2020,"10",20
"274",2020-10-21,"CT","tot_cases",64871,2020,"10",21
"275",2020-10-22,"CT","tot_cases",65373,2020,"10",22
"276",2020-10-23,"CT","tot_cases",66052,2020,"10",23
"277",2020-10-24,"CT","tot_cases",66052,2020,"10",24
"278",2020-10-25,"CT","tot_cases",66052,2020,"10",25
"279",2020-10-26,"CT","tot_cases",68099,2020,"10",26
"280",2020-10-27,"CT","tot_cases",68637,2020,"10",27
"281",2020-10-28,"CT","tot_cases",69127,2020,"10",28
"282",2020-10-29,"CT","tot_cases",70446,2020,"10",29
"283",2020-10-30,"CT","tot_cases",71207,2020,"10",30
"284",2020-10-31,"CT","tot_cases",71207,2020,"10",31
"285",2020-11-01,"CT","tot_cases",71207,2020,"11",1
"286",2020-11-02,"CT","tot_cases",73858,2020,"11",2
"287",2020-11-03,"CT","tot_cases",74843,2020,"11",3
"288",2020-11-04,"CT","tot_cases",75373,2020,"11",4
"289",2020-11-05,"CT","tot_cases",77060,2020,"11",5
"290",2020-11-06,"CT","tot_cases",78125,2020,"11",6
"291",2020-11-07,"CT","tot_cases",78125,2020,"11",7
"292",2020-11-08,"CT","tot_cases",78125,2020,"11",8
"293",2020-11-09,"CT","tot_cases",81463,2020,"11",9
"294",2020-11-10,"CT","tot_cases",82987,2020,"11",10
"295",2020-11-11,"CT","tot_cases",84741,2020,"11",11
"296",2020-11-12,"CT","tot_cases",85899,2020,"11",12
"297",2020-11-13,"CT","tot_cases",88645,2020,"11",13
"298",2020-11-14,"CT","tot_cases",88645,2020,"11",14
"299",2020-11-15,"CT","tot_cases",88645,2020,"11",15
"300",2020-11-16,"CT","tot_cases",93284,2020,"11",16
"301",2020-11-17,"CT","tot_cases",94986,2020,"11",17
"302",2020-11-18,"CT","tot_cases",97028,2020,"11",18
"303",2020-11-19,"CT","tot_cases",99381,2020,"11",19
"304",2020-11-20,"CT","tot_cases",101469,2020,"11",20
"305",2020-11-21,"CT","tot_cases",101469,2020,"11",21
"306",2020-11-22,"CT","tot_cases",101469,2020,"11",22
"307",2020-11-23,"CT","tot_cases",106740,2020,"11",23
"308",2020-11-24,"CT","tot_cases",107280,2020,"11",24
"309",2020-11-25,"CT","tot_cases",109152,2020,"11",25
"310",2020-11-26,"CT","tot_cases",109152,2020,"11",26
"311",2020-11-27,"CT","tot_cases",112581,2020,"11",27
"312",2020-11-28,"CT","tot_cases",112581,2020,"11",28
"313",2020-11-29,"CT","tot_cases",112581,2020,"11",29
"314",2020-11-30,"CT","tot_cases",117295,2020,"11",30
"315",2020-01-22,"WA","tot_cases",1,2020,"1",22
"316",2020-01-23,"WA","tot_cases",1,2020,"1",23
"317",2020-01-24,"WA","tot_cases",1,2020,"1",24
"318",2020-01-25,"WA","tot_cases",1,2020,"1",25
"319",2020-01-26,"WA","tot_cases",1,2020,"1",26
"320",2020-01-27,"WA","tot_cases",1,2020,"1",27
"321",2020-01-28,"WA","tot_cases",1,2020,"1",28
"322",2020-01-29,"WA","tot_cases",1,2020,"1",29
"323",2020-01-30,"WA","tot_cases",1,2020,"1",30
"324",2020-01-31,"WA","tot_cases",1,2020,"1",31
"325",2020-02-01,"WA","tot_cases",1,2020,"2",1
"326",2020-02-02,"WA","tot_cases",1,2020,"2",2
"327",2020-02-03,"WA","tot_cases",1,2020,"2",3
"328",2020-02-04,"WA","tot_cases",1,2020,"2",4
"329",2020-02-05,"WA","tot_cases",1,2020,"2",5
"330",2020-02-06,"WA","tot_cases",1,2020,"2",6
"331",2020-02-07,"WA","tot_cases",1,2020,"2",7
"332",2020-02-08,"WA","tot_cases",1,2020,"2",8
"333",2020-02-09,"WA","tot_cases",1,2020,"2",9
"334",2020-02-10,"WA","tot_cases",1,2020,"2",10
"335",2020-02-11,"WA","tot_cases",1,2020,"2",11
"336",2020-02-12,"WA","tot_cases",1,2020,"2",12
"337",2020-02-13,"WA","tot_cases",1,2020,"2",13
"338",2020-02-14,"WA","tot_cases",1,2020,"2",14
"339",2020-02-15,"WA","tot_cases",1,2020,"2",15
"340",2020-02-16,"WA","tot_cases",1,2020,"2",16
"341",2020-02-17,"WA","tot_cases",1,2020,"2",17
"342",2020-02-18,"WA","tot_cases",1,2020,"2",18
"343",2020-02-19,"WA","tot_cases",1,2020,"2",19
"344",2020-02-20,"WA","tot_cases",1,2020,"2",20
"345",2020-02-21,"WA","tot_cases",1,2020,"2",21
"346",2020-02-22,"WA","tot_cases",1,2020,"2",22
"347",2020-02-23,"WA","tot_cases",1,2020,"2",23
"348",2020-02-24,"WA","tot_cases",1,2020,"2",24
"349",2020-02-25,"WA","tot_cases",1,2020,"2",25
"350",2020-02-26,"WA","tot_cases",1,2020,"2",26
"351",2020-02-27,"WA","tot_cases",1,2020,"2",27
"352",2020-02-28,"WA","tot_cases",1,2020,"2",28
"353",2020-02-29,"WA","tot_cases",7,2020,"2",29
"354",2020-03-01,"WA","tot_cases",11,2020,"3",1
"355",2020-03-02,"WA","tot_cases",18,2020,"3",2
"356",2020-03-03,"WA","tot_cases",27,2020,"3",3
"357",2020-03-04,"WA","tot_cases",39,2020,"3",4
"358",2020-03-05,"WA","tot_cases",70,2020,"3",5
"359",2020-03-06,"WA","tot_cases",79,2020,"3",6
"360",2020-03-07,"WA","tot_cases",102,2020,"3",7
"361",2020-03-08,"WA","tot_cases",136,2020,"3",8
"362",2020-03-09,"WA","tot_cases",162,2020,"3",9
"363",2020-03-10,"WA","tot_cases",267,2020,"3",10
"364",2020-03-11,"WA","tot_cases",366,2020,"3",11
"365",2020-03-12,"WA","tot_cases",457,2020,"3",12
"366",2020-03-13,"WA","tot_cases",568,2020,"3",13
"367",2020-03-14,"WA","tot_cases",642,2020,"3",14
"368",2020-03-15,"WA","tot_cases",708,2020,"3",15
"369",2020-03-16,"WA","tot_cases",769,2020,"3",16
"370",2020-03-17,"WA","tot_cases",930,2020,"3",17
"371",2020-03-18,"WA","tot_cases",1187,2020,"3",18
"372",2020-03-19,"WA","tot_cases",1376,2020,"3",19
"373",2020-03-20,"WA","tot_cases",1524,2020,"3",20
"374",2020-03-21,"WA","tot_cases",1793,2020,"3",21
"375",2020-03-22,"WA","tot_cases",1996,2020,"3",22
"376",2020-03-23,"WA","tot_cases",2221,2020,"3",23
"377",2020-03-24,"WA","tot_cases",2469,2020,"3",24
"378",2020-03-25,"WA","tot_cases",2580,2020,"3",25
"379",2020-03-26,"WA","tot_cases",3207,2020,"3",26
"380",2020-03-27,"WA","tot_cases",3723,2020,"3",27
"381",2020-03-28,"WA","tot_cases",4310,2020,"3",28
"382",2020-03-29,"WA","tot_cases",4506,2020,"3",29
"383",2020-03-30,"WA","tot_cases",4896,2020,"3",30
"384",2020-03-31,"WA","tot_cases",4896,2020,"3",31
"385",2020-04-01,"WA","tot_cases",5319,2020,"4",1
"386",2020-04-02,"WA","tot_cases",5683,2020,"4",2
"387",2020-04-03,"WA","tot_cases",6966,2020,"4",3
"388",2020-04-04,"WA","tot_cases",7591,2020,"4",4
"389",2020-04-05,"WA","tot_cases",6973,2020,"4",5
"390",2020-04-06,"WA","tot_cases",7318,2020,"4",6
"391",2020-04-07,"WA","tot_cases",8682,2020,"4",7
"392",2020-04-08,"WA","tot_cases",9097,2020,"4",8
"393",2020-04-09,"WA","tot_cases",9608,2020,"4",9
"394",2020-04-10,"WA","tot_cases",9887,2020,"4",10
"395",2020-04-11,"WA","tot_cases",10224,2020,"4",11
"396",2020-04-12,"WA","tot_cases",10411,2020,"4",12
"397",2020-04-13,"WA","tot_cases",10538,2020,"4",13
"398",2020-04-14,"WA","tot_cases",10694,2020,"4",14
"399",2020-04-15,"WA","tot_cases",10783,2020,"4",15
"400",2020-04-16,"WA","tot_cases",11152,2020,"4",16
"401",2020-04-17,"WA","tot_cases",11445,2020,"4",17
"402",2020-04-18,"WA","tot_cases",11802,2020,"4",18
"403",2020-04-19,"WA","tot_cases",11790,2020,"4",19
"404",2020-04-20,"WA","tot_cases",12085,2020,"4",20
"405",2020-04-21,"WA","tot_cases",12282,2020,"4",21
"406",2020-04-22,"WA","tot_cases",12494,2020,"4",22
"407",2020-04-23,"WA","tot_cases",12753,2020,"4",23
"408",2020-04-24,"WA","tot_cases",12977,2020,"4",24
"409",2020-04-25,"WA","tot_cases",13319,2020,"4",25
"410",2020-04-26,"WA","tot_cases",13521,2020,"4",26
"411",2020-04-27,"WA","tot_cases",13686,2020,"4",27
"412",2020-04-28,"WA","tot_cases",13842,2020,"4",28
"413",2020-04-29,"WA","tot_cases",14070,2020,"4",29
"414",2020-04-30,"WA","tot_cases",14327,2020,"4",30
"415",2020-05-01,"WA","tot_cases",14637,2020,"5",1
"416",2020-05-02,"WA","tot_cases",15003,2020,"5",2
"417",2020-05-03,"WA","tot_cases",15185,2020,"5",3
"418",2020-05-04,"WA","tot_cases",15462,2020,"5",4
"419",2020-05-05,"WA","tot_cases",15594,2020,"5",5
"420",2020-05-06,"WA","tot_cases",15905,2020,"5",6
"421",2020-05-07,"WA","tot_cases",16231,2020,"5",7
"422",2020-05-08,"WA","tot_cases",16388,2020,"5",8
"423",2020-05-09,"WA","tot_cases",16674,2020,"5",9
"424",2020-05-10,"WA","tot_cases",16891,2020,"5",10
"425",2020-05-11,"WA","tot_cases",17122,2020,"5",11
"426",2020-05-12,"WA","tot_cases",17330,2020,"5",12
"427",2020-05-13,"WA","tot_cases",17512,2020,"5",13
"428",2020-05-14,"WA","tot_cases",17773,2020,"5",14
"429",2020-05-15,"WA","tot_cases",17951,2020,"5",15
"430",2020-05-16,"WA","tot_cases",18287,2020,"5",16
"431",2020-05-17,"WA","tot_cases",18433,2020,"5",17
"432",2020-05-18,"WA","tot_cases",18611,2020,"5",18
"433",2020-05-19,"WA","tot_cases",18811,2020,"5",19
"434",2020-05-20,"WA","tot_cases",18971,2020,"5",20
"435",2020-05-21,"WA","tot_cases",19117,2020,"5",21
"436",2020-05-22,"WA","tot_cases",19265,2020,"5",22
"437",2020-05-23,"WA","tot_cases",19585,2020,"5",23
"438",2020-05-24,"WA","tot_cases",19828,2020,"5",24
"439",2020-05-25,"WA","tot_cases",20065,2020,"5",25
"440",2020-05-26,"WA","tot_cases",20181,2020,"5",26
"441",2020-05-27,"WA","tot_cases",20406,2020,"5",27
"442",2020-05-28,"WA","tot_cases",20764,2020,"5",28
"443",2020-05-29,"WA","tot_cases",21071,2020,"5",29
"444",2020-05-30,"WA","tot_cases",21349,2020,"5",30
"445",2020-05-31,"WA","tot_cases",21702,2020,"5",31
"446",2020-06-01,"WA","tot_cases",21977,2020,"6",1
"447",2020-06-02,"WA","tot_cases",22157,2020,"6",2
"448",2020-06-03,"WA","tot_cases",22484,2020,"6",3
"449",2020-06-04,"WA","tot_cases",22729,2020,"6",4
"450",2020-06-05,"WA","tot_cases",22993,2020,"6",5
"451",2020-06-06,"WA","tot_cases",23422,2020,"6",6
"452",2020-06-07,"WA","tot_cases",23729,2020,"6",7
"453",2020-06-08,"WA","tot_cases",24041,2020,"6",8
"454",2020-06-09,"WA","tot_cases",24354,2020,"6",9
